id;created_by;created_date;last_modified_by;last_modified_date
1;function;2023-03-19T14:19:51;generating;2023-03-19T23:30:05
2;Fork;2023-03-20T04:28:35;Cotton Delaware;2023-03-19T23:39:33
3;program;2023-03-19T13:54:33;Central mobile driver;2023-03-20T02:35:10
4;Dollar SCSI Martinique;2023-03-20T07:17:17;Virginia Infrastructure;2023-03-19T12:22:25
5;turn-key;2023-03-19T19:11:29;killer client-driven;2023-03-19T20:02:39
6;Kids;2023-03-20T00:49:16;multi-byte Computer;2023-03-19T10:28:12
7;payment;2023-03-20T07:09:03;fuchsia Up-sized Configuration;2023-03-20T00:27:25
8;Dynamic Virginia override;2023-03-19T12:40:58;Territories index;2023-03-19T16:15:44
9;microchip;2023-03-20T04:58:01;Associate navigating;2023-03-20T00:22:37
10;frictionless networks;2023-03-19T09:23:34;Borders navigating Brand;2023-03-19T18:12:00
