id;created_by;created_date;last_modified_by;last_modified_date
1;deposit;2023-03-19T09:46:08;online;2023-03-19T11:46:06
2;Mouse;2023-03-20T00:19:59;THX;2023-03-19T22:23:17
3;Ergonomic Metal Beauty;2023-03-19T08:15:17;Factors Marino;2023-03-19T19:47:57
4;throughput clicks-and-mortar;2023-03-20T02:22:44;Movies vortals application;2023-03-19T22:31:34
5;pink;2023-03-20T02:41:17;Incredible application;2023-03-20T00:45:54
6;Connecticut tertiary Legacy;2023-03-20T00:19:39;intelligence eyeballs data-warehouse;2023-03-19T13:46:45
7;engage;2023-03-19T20:20:51;bleeding-edge multi-tasking;2023-03-20T03:46:15
8;one-to-one;2023-03-20T04:20:29;incubate Architect Steel;2023-03-19T18:19:43
9;RAM Intelligent Dakota;2023-03-19T20:46:18;niches panel Bermuda;2023-03-19T13:20:20
10;quantify;2023-03-19T21:36:14;Loan Small up;2023-03-20T02:01:09
