id;code;name;unit_price;quantity;total_price
1;function;Streamlined withdrawal Fork;13171;65331;14207
2;Awesome Soft;application Ball;97533;24746;72949
3;Intelligent;engine Human Indiana;42907;56275;91194
4;Infrastructure auxiliary payment;killer client-driven;48305;19832;1103
5;Specialist multi-byte;Small;17472;63792;72098
6;Outdoors JBOD;services empower Dynamic;58954;90947;68994
7;silver relationships input;withdrawal Gloves;60303;99558;6231
8;navigating;portals;11930;42825;81047
9;Creative deposit orchestrate;edge;71259;91012;61708
10;Moldova Mill Licensed;transmit Cambridgeshire;96193;4444;60125
