id;shop_id;customer_id;code;finish_time;sub_total;tax;grand_total;active
1;48469;32217;input synthesize Orchestrator;2023-03-19T17:55:53;67263;6249;69947;false
2;55341;26312;connect Keys online;2023-03-19T16:50:58;80077;29939;17935;true
3;61371;36148;Outdoors Investment synergize;2023-03-19T10:04:01;73814;70320;61533;false
4;55341;81431;Cotton Wooden;2023-03-19T17:26:42;95773;92332;54519;false
5;66445;7374;solid;2023-03-19T22:21:30;84224;19200;67523;false
6;95082;28808;Auto Minnesota Bedfordshire;2023-03-19T19:52:37;30058;45390;9978;false
7;90448;36873;Brand;2023-03-19T15:12:44;36493;79375;89583;true
8;4373;67766;Lead RSS channels;2023-03-19T16:51:33;95921;73833;78745;true
9;82880;54652;Pizza;2023-03-19T21:36:34;56299;75741;54946;true
10;62347;81276;intuitive;2023-03-20T01:05:03;66155;67223;49154;true
