id;created_by;created_date;last_modified_by;last_modified_date
1;function;2023-03-27T16:28:43;generating;2023-03-28T01:38:57
2;Fork;2023-03-28T06:37:27;Cotton Delaware;2023-03-28T01:48:25
3;program;2023-03-27T16:03:25;Central mobile driver;2023-03-28T04:44:02
4;Dollar SCSI Martinique;2023-03-28T09:26:09;Virginia Infrastructure;2023-03-27T14:31:17
5;turn-key;2023-03-27T21:20:21;killer client-driven;2023-03-27T22:11:31
6;Kids;2023-03-28T02:58:08;multi-byte Computer;2023-03-27T12:37:04
7;payment;2023-03-28T09:17:55;fuchsia Up-sized Configuration;2023-03-28T02:36:17
8;Dynamic Virginia override;2023-03-27T14:49:50;Territories index;2023-03-27T18:24:36
9;microchip;2023-03-28T07:06:53;Associate navigating;2023-03-28T02:31:29
10;frictionless networks;2023-03-27T11:32:26;Borders navigating Brand;2023-03-27T20:20:52
