id;created_by;created_date;last_modified_by;last_modified_date
1;deposit;2023-03-27T11:55:00;online;2023-03-27T13:54:58
2;Mouse;2023-03-28T02:28:51;THX;2023-03-28T00:32:09
3;Ergonomic Metal Beauty;2023-03-27T10:24:09;Factors Marino;2023-03-27T21:56:49
4;throughput clicks-and-mortar;2023-03-28T04:31:36;Movies vortals application;2023-03-28T00:40:26
5;pink;2023-03-28T04:50:09;Incredible application;2023-03-28T02:54:46
6;Connecticut tertiary Legacy;2023-03-28T02:28:31;intelligence eyeballs data-warehouse;2023-03-27T15:55:37
7;engage;2023-03-27T22:29:43;bleeding-edge multi-tasking;2023-03-28T05:55:07
8;one-to-one;2023-03-28T06:29:21;incubate Architect Steel;2023-03-27T20:28:35
9;RAM Intelligent Dakota;2023-03-27T22:55:10;niches panel Bermuda;2023-03-27T15:29:12
10;quantify;2023-03-27T23:45:06;Loan Small up;2023-03-28T04:10:01
