id;code;name;price;prepare_time;active
1;Supervisor Berkshire;azure;22934;92381;true
2;SQL;haptic Bike;65763;35758;true
3;silver;Buckinghamshire Loan;34553;77408;false
4;Bedfordshire;portal Sausages;61278;69205;false
5;Delaware;Shirt;52185;21056;false
6;back backing;JBOD partnerships Spain;3682;35283;false
7;hub SSL Quality;Shirt out-of-the-box Triple-buffered;38716;16304;true
8;Chips;generating IB;56364;62505;true
9;Path calculate;synthesizing;38361;70706;false
10;RSS;impactful context-sensitive;45352;27830;false
