id;code;phone;address;longitude;latitude;open_time;close_time;queue_available;active
1;Summit quantify Metal;439.557.0198;bandwidth morph 1080p;14431;98034;2023-03-20T00:33:52;2023-03-19T10:09:06;24081;false
2;core Streamlined;962-282-4619 x351;digital open-source;29514;4563;2023-03-19T23:39:40;2023-03-19T09:58:32;16981;true
3;target program;990-816-1920;enable;98073;65442;2023-03-19T14:03:30;2023-03-19T22:04:42;23324;false
4;transmit Granite Islands;1-626-544-0416 x46430;withdrawal;42479;50925;2023-03-19T10:10:49;2023-03-20T06:10:28;88954;false
5;Pizza backing;(220) 714-4322 x602;system;2710;35237;2023-03-19T09:14:53;2023-03-19T22:57:12;27704;true
6;Rubber Micronesia Fantastic;1-393-296-7144;Granite Table hybrid;874;25090;2023-03-20T00:45:50;2023-03-20T06:08:13;74476;false
7;Advanced;(499) 625-8511 x743;Ergonomic;51483;37367;2023-03-20T03:07:17;2023-03-20T02:55:35;41570;false
8;Table Keys;(471) 848-5664 x529;open-source e-tailers AGP;24257;3194;2023-03-20T00:46:32;2023-03-20T03:16:47;69791;true
9;Frozen;(255) 236-4746 x223;Fish;82792;94459;2023-03-20T02:14:39;2023-03-19T16:13:43;68853;false
10;ivory;1-353-962-2505;content Pennsylvania;16394;72887;2023-03-19T17:42:31;2023-03-20T00:30:07;18938;false
